company,ticker,report_bucket,fiscal_period,period_end,rpo_backlog_or_revenue_usd_b,fact_metric,quarterly_capex_usd_b,capex_definition,fact_source_url,capex_source_url,evidence_derivation,fact_source_id,capex_source_id
Amazon,AMZN,Q2 25,Q2 2025,2025-06-30,195,"Long-term customer commitments, primarily AWS",32.183,Cash payments to acquire productive assets (SEC XBRL),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm,"Fact: Long-term customer commitments, primarily AWS, were approximately $195B as of June 30, 2025. Capex: SEC XBRL PaymentsToAcquireProductiveAssets for Q2 2025 was $32.183B.",AMZN-Q225-FACT,AMZN-Q225-CAPEX
Amazon,AMZN,Q3 25,Q3 2025,2025-09-30,200,"Long-term customer commitments, primarily AWS",35.095,Cash payments to acquire productive assets (SEC XBRL),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/amzn-20250930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/amzn-20250930.htm,"Fact: Long-term customer commitments, primarily AWS, were approximately $200B; weighted-average remaining life was 3.8 years. Capex: SEC XBRL PaymentsToAcquireProductiveAssets for Q3 2025 was $35.095B.",AMZN-Q325-FACT,AMZN-Q325-CAPEX
Amazon,AMZN,Q4 25,Q4 2025,2025-12-31,244,"Long-term customer commitments, primarily AWS",39.522,Cash payments to acquire productive assets (SEC XBRL),https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,"Fact: Long-term customer commitments, primarily AWS, were approximately $244B as of December 31, 2025. Capex: Quarter capex = $131.819B FY2025 less $92.297B first nine months = $39.522B.",AMZN-Q425-FACT,AMZN-Q425-CAPEX
Amazon,AMZN,Q1 26,Q1 2026,2026-03-31,364,"Long-term customer commitments, primarily AWS",44.203,Cash payments to acquire productive assets (SEC XBRL),https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,"Fact: Long-term customer commitments, primarily AWS, were approximately $364B as of March 31, 2026—not $464B as shown in the supplied snapshot. Weighted-average remaining life was 5.5 years. Capex: SEC XBRL PaymentsToAcquireProductiveAssets was $44.203B. Amazon's narrative cash-capex measure was $43.2B; this model uses the standardized XBRL series consistently across quarters.",AMZN-Q126-FACT,AMZN-Q126-CAPEX
Amazon,AMZN,Q2 26,Q2 2026,2026-06-30,496,"Long-term customer commitments, primarily AWS",54.208,Cash payments to acquire productive assets (SEC XBRL gross series),https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,"Fact: Long-term customer commitments, primarily AWS, were approximately $496B; weighted-average remaining life was 6.4 years. Anthropic's expanded commitment is already included in the total and must not be added separately. Capex: Gross cash PP&E purchases were $54.208B, also reconciling as $98.411B first half less $44.203B Q1. Amazon's separate net cash-capex measure was $53.076B; the model preserves the gross series.",AMZN-Q226-FACT,AMZN-Q226-CAPEX
Oracle,ORCL,Q2 25,FY25 Q4,2025-05-31,137.8,Remaining performance obligations,9.08,Cash capital expenditures; Q4 derived from annual less nine months,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,"Fact: Remaining performance obligations were $137.8B as of May 31, 2025. Capex: Quarter capex = $21.215B FY2025 less $12.135B first nine months = $9.080B. The $5.0B in the supplied image is not supported by Oracle's cash-flow filings. Nine-month source: https://www.sec.gov/Archives/edgar/data/1341439/000095017025037143/orcl-20250228.htm",ORCL-Q225-FACT,ORCL-Q225-CAPEX
Oracle,ORCL,Q3 25,FY26 Q1,2025-08-31,455.3,Remaining performance obligations,8.502,Cash capital expenditures,https://www.sec.gov/Archives/edgar/data/1341439/000119312525200095/orcl-20250831.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525200095/orcl-20250831.htm,"Fact: Remaining performance obligations were $455.3B as of August 31, 2025. Capex: The FY26 Q1 cash-flow statement reports $8.502B of capex.",ORCL-Q325-FACT,ORCL-Q325-CAPEX
Oracle,ORCL,Q4 25,FY26 Q2,2025-11-30,523.3,Remaining performance obligations,12.033,Cash capital expenditures; quarter derived from cumulative filing values,https://www.sec.gov/Archives/edgar/data/1341439/000119312525315925/orcl-20251130.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525315925/orcl-20251130.htm,"Fact: Remaining performance obligations were $523.3B as of November 30, 2025. Capex: Quarter capex = $20.535B first half less $8.502B Q1 = $12.033B.",ORCL-Q425-FACT,ORCL-Q425-CAPEX
Oracle,ORCL,Q1 26,FY26 Q3,2026-02-28,552.6,Remaining performance obligations,18.635,Cash capital expenditures; quarter derived from cumulative filing values,https://www.sec.gov/Archives/edgar/data/1341439/000119312526101045/orcl-20260228.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526101045/orcl-20260228.htm,"Fact: Remaining performance obligations were $552.6B as of February 28, 2026. Capex: Quarter capex = $39.170B first nine months less $20.535B first half = $18.635B.",ORCL-Q126-FACT,ORCL-Q126-CAPEX
Oracle,ORCL,Q2 26,FY26 Q4,2026-05-31,638,Remaining performance obligations,16.493,Cash capital expenditures,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/orcl-20260531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/orcl-20260531.htm,"Fact: Remaining performance obligations were $638B at May 31, 2026, up $85B sequentially. Oracle's filed release says most Q3/Q4 RPO growth came from large AI contracts and $75B of prepaid or customer-supplied hardware reduces Oracle's own capital requirement. Capex: Quarter capex = $55.663B FY2026 cash capex less $39.170B first nine months = $16.493B.",ORCL-Q226-FACT,ORCL-Q226-CAPEX
Meta Platforms,META,Q2 25,Q2 2025,2025-06-30,47.516,Quarterly revenue,17.012,"Company-reported capex, including finance-lease principal payments",https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/meta-20250630.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/meta-20250630.htm,Fact: Q2 2025 revenue was $47.516B. Capex: Company-defined capex including finance-lease principal was $17.012B (reported as $17.01B).,META-Q225-FACT,META-Q225-CAPEX
Meta Platforms,META,Q3 25,Q3 2025,2025-09-30,51.242,Quarterly revenue,19.374,"Company-reported capex, including finance-lease principal payments",https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/meta-20250930.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/meta-20250930.htm,Fact: Q3 2025 revenue was $51.242B. Capex: Company-defined capex including finance-lease principal was $19.374B (reported as $19.37B).,META-Q325-FACT,META-Q325-CAPEX
Meta Platforms,META,Q4 25,Q4 2025,2025-12-31,59.893,Quarterly revenue,22.137,"Company-reported capex, including finance-lease principal payments; derived quarter",https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,Fact: Q4 2025 revenue = $200.966B FY2025 less $141.073B first nine months = $59.893B. Capex: Company-defined capex including finance-lease principal was $22.137B (reported as $22.14B).,META-Q425-FACT,META-Q425-CAPEX
Meta Platforms,META,Q1 26,Q1 2026,2026-03-31,56.311,Quarterly revenue,19.84,"Company-reported capex, including finance-lease principal payments",https://www.sec.gov/Archives/edgar/data/1326801/000162828026028526/meta-20260331.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026028526/meta-20260331.htm,Fact: Q1 2026 revenue was $56.311B. The $240B annualized revenue in the supplied snapshot is based on roughly $60B and does not match the Q1 filing; filing-based annualized revenue is $225.244B. Capex: Company-defined capex was $19.840B: $18.997B cash PP&E purchases plus $0.843B finance-lease principal.,META-Q126-FACT,META-Q126-CAPEX
Meta Platforms,META,Q2 26,Q2 2026,2026-06-30,60.801,Quarterly revenue,31.078,Company-defined capex including finance-lease principal payments,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/meta-20260630.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/meta-20260630.htm,"Fact: Q2 2026 total company revenue was $60.801B; Meta does not disclose standalone AI revenue. Capex: Company-defined capex was $31.078B: $30.116B Q2 cash PP&E purchases plus $0.962B finance-lease principal, reported as $31.08B.",META-Q226-FACT,META-Q226-CAPEX
