sheet,cell,row,column,author,note_text
Trajectory,C7,7,C,Codex,"DERIVED MODEL OUTPUT — MSFT Q2 25
Formula: quarterly capex × 4 × assumed AI share of capex
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2025-Q4/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,D7,7,D,Codex,"DERIVED MODEL OUTPUT — MSFT Q3 25
Formula: quarterly capex × 4 × assumed AI share of capex
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q1/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,E7,7,E,Codex,"DERIVED MODEL OUTPUT — MSFT Q4 25
Formula: quarterly capex × 4 × assumed AI share of capex
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526027207/msft-20251231.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,F7,7,F,Codex,"DERIVED MODEL OUTPUT — MSFT Q1 26
Formula: quarterly capex × 4 × assumed AI share of capex
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526191507/msft-20260331.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q3/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,G7,7,G,Codex,"DERIVED MODEL OUTPUT — MSFT Q2 26
Formula: quarterly capex × 4 × assumed AI share of capex
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm
Capex source: https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,C8,8,C,Codex,"DERIVED MODEL OUTPUT — MSFT Q2 25
Formula: RPO/backlog × assumed AI share ÷ assumed duration
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2025-Q4/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,D8,8,D,Codex,"DERIVED MODEL OUTPUT — MSFT Q3 25
Formula: RPO/backlog × assumed AI share ÷ assumed duration
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q1/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,E8,8,E,Codex,"DERIVED MODEL OUTPUT — MSFT Q4 25
Formula: RPO/backlog × assumed AI share ÷ assumed duration
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526027207/msft-20251231.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,F8,8,F,Codex,"DERIVED MODEL OUTPUT — MSFT Q1 26
Formula: RPO/backlog × assumed AI share ÷ assumed duration
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526191507/msft-20260331.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q3/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,G8,8,G,Codex,"DERIVED MODEL OUTPUT — MSFT Q2 26
Formula: RPO/backlog × assumed AI share ÷ assumed duration
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm
Capex source: https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,C9,9,C,Codex,"DERIVED MODEL OUTPUT — MSFT Q2 25
Formula: annualized AI revenue proxy × base NOPAT margin ÷ annualized AI capex
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2025-Q4/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,D9,9,D,Codex,"DERIVED MODEL OUTPUT — MSFT Q3 25
Formula: annualized AI revenue proxy × base NOPAT margin ÷ annualized AI capex
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q1/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,E9,9,E,Codex,"DERIVED MODEL OUTPUT — MSFT Q4 25
Formula: annualized AI revenue proxy × base NOPAT margin ÷ annualized AI capex
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526027207/msft-20251231.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,F9,9,F,Codex,"DERIVED MODEL OUTPUT — MSFT Q1 26
Formula: annualized AI revenue proxy × base NOPAT margin ÷ annualized AI capex
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526191507/msft-20260331.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q3/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,G9,9,G,Codex,"DERIVED MODEL OUTPUT — MSFT Q2 26
Formula: annualized AI revenue proxy × base NOPAT margin ÷ annualized AI capex
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm
Capex source: https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,C10,10,C,Codex,"DERIVED MODEL OUTPUT — MSFT Q2 25
Formula: forward ROIC minus Damodaran sector WACC; displayed as percentage points
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2025-Q4/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,D10,10,D,Codex,"DERIVED MODEL OUTPUT — MSFT Q3 25
Formula: forward ROIC minus Damodaran sector WACC; displayed as percentage points
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q1/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,E10,10,E,Codex,"DERIVED MODEL OUTPUT — MSFT Q4 25
Formula: forward ROIC minus Damodaran sector WACC; displayed as percentage points
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526027207/msft-20251231.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,F10,10,F,Codex,"DERIVED MODEL OUTPUT — MSFT Q1 26
Formula: forward ROIC minus Damodaran sector WACC; displayed as percentage points
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526191507/msft-20260331.htm
Capex source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q3/press-release-webcast
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,G10,10,G,Codex,"DERIVED MODEL OUTPUT — MSFT Q2 26
Formula: forward ROIC minus Damodaran sector WACC; displayed as percentage points
Fact source: https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm
Capex source: https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions for comparability. Microsoft disclosed a 2.3-year weighted-average commercial-RPO duration including OpenAI at June 30, 2026; using 2.3 years would be a methodology change."
Trajectory,C12,12,C,Codex,"GOOG Q2 25 — Revenue backlog / remaining performance obligations
Value: $108.200B
Public source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm
Evidence: Revenue backlog/RPO was $108.2B as of June 30, 2025.
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,D12,12,D,Codex,"GOOG Q3 25 — Revenue backlog / remaining performance obligations
Value: $157.700B
Public source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm
Evidence: Revenue backlog/RPO was $157.7B as of September 30, 2025, primarily related to Google Cloud.
Local source: 01_sources/company_filings/alphabet/Alphabet_2025-10-30_10-Q_goog-20250930.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,E12,12,E,Codex,"GOOG Q4 25 — Revenue backlog / remaining performance obligations
Value: $242.800B
Public source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm
Evidence: Revenue backlog/RPO was $242.8B as of December 31, 2025, primarily related to Google Cloud.
Local source: 01_sources/company_filings/alphabet/Alphabet_2026-02-05_10-K_goog-20251231.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,F12,12,F,Codex,"GOOG Q1 26 — Revenue backlog / remaining performance obligations
Value: $467.600B
Public source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm
Evidence: Revenue backlog/RPO was $467.6B; $462.3B related to Google Cloud. Alphabet changed the definition in Q1 2026 to include original terms of one year or less ($7.3B), so the series has a comparability break.
Local source: 01_sources/company_filings/alphabet/Alphabet_2026-04-30_10-Q_goog-20260331.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,G12,12,G,Codex,"GOOG Q2 26 — Revenue backlog / remaining performance obligations
Value: $519.500B
Public source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm
Evidence: Revenue backlog/RPO was $519.5B, including $513.9B related to Google Cloud. The Q1 2026 short-term-contract definition change remains in effect, and Cloud backlog now includes TPU system-sale agreements; the vast majority remains GCP agreements.
Local source: 01_sources/company_filings/alphabet/Alphabet_2026-07-23_10-Q_goog-20260630.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,C13,13,C,Codex,"GOOG Q2 25 — quarterly capex
Value: $22.446B
Public source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm
Evidence: Quarter capex = $39.643B first-half cash PP&E purchases less $17.197B Q1 = $22.446B.
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,D13,13,D,Codex,"GOOG Q3 25 — quarterly capex
Value: $23.953B
Public source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm
Evidence: Quarter capex = $63.596B nine-month cash PP&E purchases less $39.643B first half = $23.953B.
Local source: 01_sources/company_filings/alphabet/Alphabet_2025-10-30_10-Q_goog-20250930.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,E13,13,E,Codex,"GOOG Q4 25 — quarterly capex
Value: $27.851B
Public source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm
Evidence: Quarter capex = $91.447B FY2025 cash PP&E purchases less $63.596B first nine months = $27.851B.
Local source: 01_sources/company_filings/alphabet/Alphabet_2026-02-05_10-K_goog-20251231.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,F13,13,F,Codex,"GOOG Q1 26 — quarterly capex
Value: $35.674B
Public source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm
Evidence: The Q1 2026 10-Q reports $35.674B of cash purchases of property and equipment.
Local source: 01_sources/company_filings/alphabet/Alphabet_2026-04-30_10-Q_goog-20260331.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,G13,13,G,Codex,"GOOG Q2 26 — quarterly capex
Value: $44.924B
Public source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm
Evidence: The Q2 2026 10-Q reports exact cash purchases of PP&E of $44.924B; narrative disclosure rounds to $44.9B.
Local source: 01_sources/company_filings/alphabet/Alphabet_2026-07-23_10-Q_goog-20260630.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,C14,14,C,Codex,"DERIVED MODEL OUTPUT — GOOG Q2 25
Formula: quarterly capex × 4 × assumed AI share of capex
Fact source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm
Capex source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions. Alphabet says just over half of backlog should be recognized over 24 months but does not disclose a single average duration or a 65% AI share."
Trajectory,D14,14,D,Codex,"DERIVED MODEL OUTPUT — GOOG Q3 25
Formula: quarterly capex × 4 × assumed AI share of capex
Fact source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm
Capex source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions. Alphabet says just over half of backlog should be recognized over 24 months but does not disclose a single average duration or a 65% AI share."
Trajectory,E14,14,E,Codex,"DERIVED MODEL OUTPUT — GOOG Q4 25
Formula: quarterly capex × 4 × assumed AI share of capex
Fact source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm
Capex source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions. Alphabet says just over half of backlog should be recognized over 24 months but does not disclose a single average duration or a 65% AI share."
Trajectory,F14,14,F,Codex,"DERIVED MODEL OUTPUT — GOOG Q1 26
Formula: quarterly capex × 4 × assumed AI share of capex
Fact source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm
Capex source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions. Alphabet says just over half of backlog should be recognized over 24 months but does not disclose a single average duration or a 65% AI share."
Trajectory,G14,14,G,Codex,"DERIVED MODEL OUTPUT — GOOG Q2 26
Formula: quarterly capex × 4 × assumed AI share of capex
Fact source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm
Capex source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions. Alphabet says just over half of backlog should be recognized over 24 months but does not disclose a single average duration or a 65% AI share."
Trajectory,C15,15,C,Codex,"DERIVED MODEL OUTPUT — GOOG Q2 25
Formula: RPO/backlog × assumed AI share ÷ assumed duration
Fact source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm
Capex source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions. Alphabet says just over half of backlog should be recognized over 24 months but does not disclose a single average duration or a 65% AI share."
Trajectory,D15,15,D,Codex,"DERIVED MODEL OUTPUT — GOOG Q3 25
Formula: RPO/backlog × assumed AI share ÷ assumed duration
Fact source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm
Capex source: https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions. Alphabet says just over half of backlog should be recognized over 24 months but does not disclose a single average duration or a 65% AI share."
Trajectory,E15,15,E,Codex,"DERIVED MODEL OUTPUT — GOOG Q4 25
Formula: RPO/backlog × assumed AI share ÷ assumed duration
Fact source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm
Capex source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions. Alphabet says just over half of backlog should be recognized over 24 months but does not disclose a single average duration or a 65% AI share."
Trajectory,F15,15,F,Codex,"DERIVED MODEL OUTPUT — GOOG Q1 26
Formula: RPO/backlog × assumed AI share ÷ assumed duration
Fact source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm
Capex source: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm
WACC source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html
AI attribution, AI capex share, duration, and scenario margins are model assumptions, not disclosures.
AI share, 2.5-year duration, and scenario margins retain the supplied model assumptions. Alphabet says just over half of backlog should be recognized over 24 months but does not disclose a single average duration or a 65% AI share."
