source_id,url,company,period,kind,title_or_description,local_path_if_any,reported_value,classification,evidence_derivation,status,caveat,in_workbook_ledger
MSFT-PLAN,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4,Microsoft,Latest snapshot,plan,Official outlook — Annual capex plan / guide,,175,Official company outlook,Microsoft reduced reported CY2026 capex expectation to approximately $175B from roughly $190B because longer datacenter useful lives shift future leases from finance leases included in its capex metric to operating leases excluded from it. Management said underlying investment expectations were unchanged; the lower denominator is a classification effect.,Verified / disclosed basis,CY2026 reported capex outlook after FY26 Q4 results,yes
MSFT-WACC,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html,Microsoft,Latest snapshot,wacc,Damodaran January 2026 data — WACC sector input,,0.0934,Damodaran industry data / analyst sector selection,"January 2026 cost of capital for Software (System & Application), January 2026 U.S. industry average",Verified / disclosed basis,"Industry average, not company-specific WACC",yes
GOOG-Q225-FACT,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm,Alphabet,Q2 2025 / 2025-06-30,fact,goog-20250630.htm — Revenue backlog / remaining performance obligations,,108.2,SEC filing,"Revenue backlog/RPO was $108.2B as of June 30, 2025.",Verified,Fact used in model,yes
GOOG-Q225-CAPEX,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm,Alphabet,Q2 2025 / 2025-06-30,capex,goog-20250630.htm — Quarterly capex,,22.446,SEC filing / official company disclosure,Quarter capex = $39.643B first-half cash PP&E purchases less $17.197B Q1 = $22.446B.,Verified,Cash purchases of property and equipment,yes
GOOG-Q325-FACT,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm,Alphabet,Q3 2025 / 2025-09-30,fact,goog-20250930.htm — Revenue backlog / remaining performance obligations,01_sources/company_filings/alphabet/Alphabet_2025-10-30_10-Q_goog-20250930.htm,157.7,SEC filing,"Revenue backlog/RPO was $157.7B as of September 30, 2025, primarily related to Google Cloud.",Verified,Fact used in model,yes
GOOG-Q325-CAPEX,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm,Alphabet,Q3 2025 / 2025-09-30,capex,goog-20250930.htm — Quarterly capex,01_sources/company_filings/alphabet/Alphabet_2025-10-30_10-Q_goog-20250930.htm,23.953,SEC filing / official company disclosure,Quarter capex = $63.596B nine-month cash PP&E purchases less $39.643B first half = $23.953B.,Verified,Cash purchases of property and equipment,yes
GOOG-Q425-FACT,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,Alphabet,Q4 2025 / 2025-12-31,fact,goog-20251231.htm — Revenue backlog / remaining performance obligations,01_sources/company_filings/alphabet/Alphabet_2026-02-05_10-K_goog-20251231.htm,242.8,SEC filing,"Revenue backlog/RPO was $242.8B as of December 31, 2025, primarily related to Google Cloud.",Verified,Fact used in model,yes
GOOG-Q425-CAPEX,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,Alphabet,Q4 2025 / 2025-12-31,capex,goog-20251231.htm — Quarterly capex,01_sources/company_filings/alphabet/Alphabet_2026-02-05_10-K_goog-20251231.htm,27.851,SEC filing / official company disclosure,Quarter capex = $91.447B FY2025 cash PP&E purchases less $63.596B first nine months = $27.851B.,Verified,Cash purchases of property and equipment,yes
GOOG-Q126-FACT,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,Alphabet,Q1 2026 / 2026-03-31,fact,goog-20260331.htm — Revenue backlog / remaining performance obligations,01_sources/company_filings/alphabet/Alphabet_2026-04-30_10-Q_goog-20260331.htm,467.6,SEC filing,"Revenue backlog/RPO was $467.6B; $462.3B related to Google Cloud. Alphabet changed the definition in Q1 2026 to include original terms of one year or less ($7.3B), so the series has a comparability break.",Verified,Fact used in model,yes
GOOG-Q126-CAPEX,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,Alphabet,Q1 2026 / 2026-03-31,capex,goog-20260331.htm — Quarterly capex,01_sources/company_filings/alphabet/Alphabet_2026-04-30_10-Q_goog-20260331.htm,35.674,SEC filing / official company disclosure,The Q1 2026 10-Q reports $35.674B of cash purchases of property and equipment.,Verified,Cash purchases of property and equipment,yes
GOOG-Q226-FACT,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Alphabet,Q2 2026 / 2026-06-30,fact,goog-20260630.htm — Revenue backlog / remaining performance obligations,01_sources/company_filings/alphabet/Alphabet_2026-07-23_10-Q_goog-20260630.htm,519.5,SEC filing,"Revenue backlog/RPO was $519.5B, including $513.9B related to Google Cloud. The Q1 2026 short-term-contract definition change remains in effect, and Cloud backlog now includes TPU system-sale agreements; the vast majority remains GCP agreements.",Verified,Fact used in model,yes
GOOG-Q226-CAPEX,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Alphabet,Q2 2026 / 2026-06-30,capex,goog-20260630.htm — Quarterly capex,01_sources/company_filings/alphabet/Alphabet_2026-07-23_10-Q_goog-20260630.htm,44.924,SEC filing / official company disclosure,The Q2 2026 10-Q reports exact cash purchases of PP&E of $44.924B; narrative disclosure rounds to $44.9B.,Verified,Cash purchases of property and equipment,yes
GOOG-PLAN,https://abc.xyz/investor/events/event-details/2026/2026-Q2-Earnings-Call-2026-GgTAq7Is0z/default.aspx,Alphabet,Latest snapshot,plan,Official outlook — Annual capex plan / guide,,200,Official company outlook,"Alphabet's official Q2 2026 call raised its 2026 capex range to $195B-$205B from $180B-$190B. $200B is the model midpoint, not company point guidance.",Verified / disclosed basis,Midpoint of updated CY2026 $195B-$205B company range,yes
GOOG-WACC,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html,Alphabet,Latest snapshot,wacc,Damodaran January 2026 data — WACC sector input,,0.1066,Damodaran industry data / analyst sector selection,"January 2026 cost of capital for Software (Internet), January 2026 U.S. industry average",Verified / disclosed basis,"Industry average, not company-specific WACC",yes
AMZN-Q225-FACT,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm,Amazon,Q2 2025 / 2025-06-30,fact,"amzn-20250630.htm — Long-term customer commitments, primarily AWS",,195,SEC filing,"Long-term customer commitments, primarily AWS, were approximately $195B as of June 30, 2025.",Verified,Fact used in model,yes
AMZN-Q225-CAPEX,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm,Amazon,Q2 2025 / 2025-06-30,capex,amzn-20250630.htm — Quarterly capex,,32.183,SEC filing / official company disclosure,SEC XBRL PaymentsToAcquireProductiveAssets for Q2 2025 was $32.183B.,Verified,Cash payments to acquire productive assets (SEC XBRL),yes
AMZN-Q325-FACT,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/amzn-20250930.htm,Amazon,Q3 2025 / 2025-09-30,fact,"amzn-20250930.htm — Long-term customer commitments, primarily AWS",01_sources/company_filings/amazon/Amazon_2025-10-31_10-Q_amzn-20250930.htm,200,SEC filing,"Long-term customer commitments, primarily AWS, were approximately $200B; weighted-average remaining life was 3.8 years.",Verified,Fact used in model,yes
AMZN-Q325-CAPEX,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/amzn-20250930.htm,Amazon,Q3 2025 / 2025-09-30,capex,amzn-20250930.htm — Quarterly capex,01_sources/company_filings/amazon/Amazon_2025-10-31_10-Q_amzn-20250930.htm,35.095,SEC filing / official company disclosure,SEC XBRL PaymentsToAcquireProductiveAssets for Q3 2025 was $35.095B.,Verified,Cash payments to acquire productive assets (SEC XBRL),yes
AMZN-Q425-FACT,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,Amazon,Q4 2025 / 2025-12-31,fact,"amzn-20251231.htm — Long-term customer commitments, primarily AWS",01_sources/company_filings/amazon/Amazon_2026-02-06_10-K_amzn-20251231.htm,244,SEC filing,"Long-term customer commitments, primarily AWS, were approximately $244B as of December 31, 2025.",Verified,Fact used in model,yes
AMZN-Q425-CAPEX,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,Amazon,Q4 2025 / 2025-12-31,capex,amzn-20251231.htm — Quarterly capex,01_sources/company_filings/amazon/Amazon_2026-02-06_10-K_amzn-20251231.htm,39.522,SEC filing / official company disclosure,Quarter capex = $131.819B FY2025 less $92.297B first nine months = $39.522B.,Verified,Cash payments to acquire productive assets (SEC XBRL),yes
AMZN-Q126-FACT,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,Amazon,Q1 2026 / 2026-03-31,fact,"amzn-20260331.htm — Long-term customer commitments, primarily AWS",01_sources/company_filings/amazon/Amazon_2026-04-30_10-Q_amzn-20260331.htm,364,SEC filing,"Long-term customer commitments, primarily AWS, were approximately $364B as of March 31, 2026—not $464B as shown in the supplied snapshot. Weighted-average remaining life was 5.5 years.",Verified,Fact used in model,yes
AMZN-Q126-CAPEX,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,Amazon,Q1 2026 / 2026-03-31,capex,amzn-20260331.htm — Quarterly capex,01_sources/company_filings/amazon/Amazon_2026-04-30_10-Q_amzn-20260331.htm,44.203,SEC filing / official company disclosure,SEC XBRL PaymentsToAcquireProductiveAssets was $44.203B. Amazon's narrative cash-capex measure was $43.2B; this model uses the standardized XBRL series consistently across quarters.,Verified,Cash payments to acquire productive assets (SEC XBRL),yes
AMZN-Q226-FACT,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,Amazon,Q2 2026 / 2026-06-30,fact,"amzn-20260630.htm — Long-term customer commitments, primarily AWS",01_sources/company_filings/amazon/Amazon_2026-07-31_10-Q_amzn-20260630.htm,496,SEC filing,"Long-term customer commitments, primarily AWS, were approximately $496B; weighted-average remaining life was 6.4 years. Anthropic's expanded commitment is already included in the total and must not be added separately.",Verified,Fact used in model,yes
AMZN-Q226-CAPEX,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,Amazon,Q2 2026 / 2026-06-30,capex,amzn-20260630.htm — Quarterly capex,01_sources/company_filings/amazon/Amazon_2026-07-31_10-Q_amzn-20260630.htm,54.208,SEC filing / official company disclosure,"Gross cash PP&E purchases were $54.208B, also reconciling as $98.411B first half less $44.203B Q1. Amazon's separate net cash-capex measure was $53.076B; the model preserves the gross series.",Verified,Cash payments to acquire productive assets (SEC XBRL gross series),yes
AMZN-PLAN,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000002/amzn-20251231xex991.htm,Amazon,Latest snapshot,plan,Official outlook — Annual capex plan / guide,,200,Official company outlook,Amazon's SEC-filed Q4 2025 release said it expected about $200B of 2026 capex. The Q2 2026 10-Q and filed release did not provide a replacement numeric full-year plan.,Verified / disclosed basis,CY2026 company outlook; no replacement numeric Q2 update,yes
AMZN-WACC,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html,Amazon,Latest snapshot,wacc,Damodaran January 2026 data — WACC sector input,,0.0727,Damodaran industry data / analyst sector selection,"January 2026 cost of capital for Retail (General), January 2026 U.S. industry average",Verified / disclosed basis,"Industry average, not company-specific WACC",yes
ORCL-Q225-FACT,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,Oracle,FY25 Q4 / 2025-05-31,fact,orcl-20250531.htm — Remaining performance obligations,,137.8,SEC filing,"Remaining performance obligations were $137.8B as of May 31, 2025.",Verified,Fact used in model,yes
ORCL-Q225-CAPEX,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,Oracle,FY25 Q4 / 2025-05-31,capex,orcl-20250531.htm — Quarterly capex,,9.08,SEC filing / official company disclosure,Quarter capex = $21.215B FY2025 less $12.135B first nine months = $9.080B. The $5.0B in the supplied image is not supported by Oracle's cash-flow filings. Nine-month source: https://www.sec.gov/Archives/edgar/data/1341439/000095017025037143/orcl-20250228.htm,Verified,Cash capital expenditures; Q4 derived from annual less nine months,yes
ORCL-Q325-FACT,https://www.sec.gov/Archives/edgar/data/1341439/000119312525200095/orcl-20250831.htm,Oracle,FY26 Q1 / 2025-08-31,fact,orcl-20250831.htm — Remaining performance obligations,01_sources/company_filings/oracle/Oracle_2025-09-10_10-Q_orcl-20250831.htm,455.3,SEC filing,"Remaining performance obligations were $455.3B as of August 31, 2025.",Verified,Fact used in model,yes
ORCL-Q325-CAPEX,https://www.sec.gov/Archives/edgar/data/1341439/000119312525200095/orcl-20250831.htm,Oracle,FY26 Q1 / 2025-08-31,capex,orcl-20250831.htm — Quarterly capex,01_sources/company_filings/oracle/Oracle_2025-09-10_10-Q_orcl-20250831.htm,8.502,SEC filing / official company disclosure,The FY26 Q1 cash-flow statement reports $8.502B of capex.,Verified,Cash capital expenditures,yes
ORCL-Q425-FACT,https://www.sec.gov/Archives/edgar/data/1341439/000119312525315925/orcl-20251130.htm,Oracle,FY26 Q2 / 2025-11-30,fact,orcl-20251130.htm — Remaining performance obligations,01_sources/company_filings/oracle/Oracle_2025-12-11_10-Q_orcl-20251130.htm,523.3,SEC filing,"Remaining performance obligations were $523.3B as of November 30, 2025.",Verified,Fact used in model,yes
ORCL-Q425-CAPEX,https://www.sec.gov/Archives/edgar/data/1341439/000119312525315925/orcl-20251130.htm,Oracle,FY26 Q2 / 2025-11-30,capex,orcl-20251130.htm — Quarterly capex,01_sources/company_filings/oracle/Oracle_2025-12-11_10-Q_orcl-20251130.htm,12.033,SEC filing / official company disclosure,Quarter capex = $20.535B first half less $8.502B Q1 = $12.033B.,Verified,Cash capital expenditures; quarter derived from cumulative filing values,yes
ORCL-Q126-FACT,https://www.sec.gov/Archives/edgar/data/1341439/000119312526101045/orcl-20260228.htm,Oracle,FY26 Q3 / 2026-02-28,fact,orcl-20260228.htm — Remaining performance obligations,01_sources/company_filings/oracle/Oracle_2026-03-11_10-Q_orcl-20260228.htm,552.6,SEC filing,"Remaining performance obligations were $552.6B as of February 28, 2026.",Verified,Fact used in model,yes
ORCL-Q126-CAPEX,https://www.sec.gov/Archives/edgar/data/1341439/000119312526101045/orcl-20260228.htm,Oracle,FY26 Q3 / 2026-02-28,capex,orcl-20260228.htm — Quarterly capex,01_sources/company_filings/oracle/Oracle_2026-03-11_10-Q_orcl-20260228.htm,18.635,SEC filing / official company disclosure,Quarter capex = $39.170B first nine months less $20.535B first half = $18.635B.,Verified,Cash capital expenditures; quarter derived from cumulative filing values,yes
ORCL-Q226-FACT,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/orcl-20260531.htm,Oracle,FY26 Q4 / 2026-05-31,fact,orcl-20260531.htm — Remaining performance obligations,01_sources/company_filings/oracle/Oracle_2026-06-22_10-K_orcl-20260531.htm,638,SEC filing,"Remaining performance obligations were $638B at May 31, 2026, up $85B sequentially. Oracle's filed release says most Q3/Q4 RPO growth came from large AI contracts and $75B of prepaid or customer-supplied hardware reduces Oracle's own capital requirement.",Verified,Fact used in model,yes
ORCL-Q226-CAPEX,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/orcl-20260531.htm,Oracle,FY26 Q4 / 2026-05-31,capex,orcl-20260531.htm — Quarterly capex,01_sources/company_filings/oracle/Oracle_2026-06-22_10-K_orcl-20260531.htm,16.493,SEC filing / official company disclosure,Quarter capex = $55.663B FY2026 cash capex less $39.170B first nine months = $16.493B.,Verified,Cash capital expenditures,yes
ORCL-PLAN,https://www.sec.gov/Archives/edgar/data/1341439/000119312526265848/orcl-ex99_1.htm,Oracle,Latest snapshot,plan,Official outlook — Annual capex plan / guide,,55.663,Official company outlook,"Oracle reported FY2026 GAAP cash capex of $55.663B. Official Q4 slides guide to approximately $70B of FY2027 net cash outlay for capex, a non-GAAP measure that deducts capex financing and customer prepayments and is not interchangeable with gross capex. The model uses the latest completed gross-capex actual rather than the expired $50B FY2026 outlook. Official slides: https://s23.q4cdn.com/440135859/files/doc_financials/2026/q4/Q4-FY26-Oracle-Earnings-Slides.pdf. Local backup: 01_sources/company_filings/oracle/Oracle_2026-06-10_Q4-FY26_Earnings_Slides.pdf",Verified / disclosed basis,FY2026 reported actual; no comparable FY2027 gross-capex guide,yes
ORCL-WACC,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html,Oracle,Latest snapshot,wacc,Damodaran January 2026 data — WACC sector input,,0.0783,Damodaran industry data / analyst sector selection,"January 2026 cost of capital for Computer Services, January 2026 U.S. industry average",Verified / disclosed basis,"Industry average, not company-specific WACC",yes
META-Q225-FACT,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/meta-20250630.htm,Meta Platforms,Q2 2025 / 2025-06-30,fact,meta-20250630.htm — Quarterly revenue,,47.516,SEC filing,Q2 2025 revenue was $47.516B.,Verified,Fact used in model,yes
META-Q225-CAPEX,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/meta-20250630.htm,Meta Platforms,Q2 2025 / 2025-06-30,capex,meta-20250630.htm — Quarterly capex,,17.012,SEC filing / official company disclosure,Company-defined capex including finance-lease principal was $17.012B (reported as $17.01B).,Verified,"Company-reported capex, including finance-lease principal payments",yes
META-Q325-FACT,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/meta-20250930.htm,Meta Platforms,Q3 2025 / 2025-09-30,fact,meta-20250930.htm — Quarterly revenue,01_sources/company_filings/meta/Meta_2025-10-30_10-Q_meta-20250930.htm,51.242,SEC filing,Q3 2025 revenue was $51.242B.,Verified,Fact used in model,yes
META-Q325-CAPEX,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/meta-20250930.htm,Meta Platforms,Q3 2025 / 2025-09-30,capex,meta-20250930.htm — Quarterly capex,01_sources/company_filings/meta/Meta_2025-10-30_10-Q_meta-20250930.htm,19.374,SEC filing / official company disclosure,Company-defined capex including finance-lease principal was $19.374B (reported as $19.37B).,Verified,"Company-reported capex, including finance-lease principal payments",yes
META-Q425-FACT,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,Meta Platforms,Q4 2025 / 2025-12-31,fact,meta-20251231.htm — Quarterly revenue,01_sources/company_filings/meta/Meta_2026-01-29_10-K_meta-20251231.htm,59.893,SEC filing,Q4 2025 revenue = $200.966B FY2025 less $141.073B first nine months = $59.893B.,Verified,Fact used in model,yes
META-Q425-CAPEX,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,Meta Platforms,Q4 2025 / 2025-12-31,capex,meta-20251231.htm — Quarterly capex,01_sources/company_filings/meta/Meta_2026-01-29_10-K_meta-20251231.htm,22.137,SEC filing / official company disclosure,Company-defined capex including finance-lease principal was $22.137B (reported as $22.14B).,Verified,"Company-reported capex, including finance-lease principal payments; derived quarter",yes
META-Q126-FACT,https://www.sec.gov/Archives/edgar/data/1326801/000162828026028526/meta-20260331.htm,Meta Platforms,Q1 2026 / 2026-03-31,fact,meta-20260331.htm — Quarterly revenue,01_sources/company_filings/meta/Meta_2026-04-30_10-Q_meta-20260331.htm,56.311,SEC filing,Q1 2026 revenue was $56.311B. The $240B annualized revenue in the supplied snapshot is based on roughly $60B and does not match the Q1 filing; filing-based annualized revenue is $225.244B.,Verified,Fact used in model,yes
META-Q126-CAPEX,https://www.sec.gov/Archives/edgar/data/1326801/000162828026028526/meta-20260331.htm,Meta Platforms,Q1 2026 / 2026-03-31,capex,meta-20260331.htm — Quarterly capex,01_sources/company_filings/meta/Meta_2026-04-30_10-Q_meta-20260331.htm,19.84,SEC filing / official company disclosure,Company-defined capex was $19.840B: $18.997B cash PP&E purchases plus $0.843B finance-lease principal.,Verified,"Company-reported capex, including finance-lease principal payments",yes
META-Q226-FACT,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/meta-20260630.htm,Meta Platforms,Q2 2026 / 2026-06-30,fact,meta-20260630.htm — Quarterly revenue,01_sources/company_filings/meta/Meta_2026-07-30_10-Q_meta-20260630.htm,60.801,SEC filing,Q2 2026 total company revenue was $60.801B; Meta does not disclose standalone AI revenue.,Verified,Fact used in model,yes
META-Q226-CAPEX,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/meta-20260630.htm,Meta Platforms,Q2 2026 / 2026-06-30,capex,meta-20260630.htm — Quarterly capex,01_sources/company_filings/meta/Meta_2026-07-30_10-Q_meta-20260630.htm,31.078,SEC filing / official company disclosure,"Company-defined capex was $31.078B: $30.116B Q2 cash PP&E purchases plus $0.962B finance-lease principal, reported as $31.08B.",Verified,Company-defined capex including finance-lease principal payments,yes
META-PLAN,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050596/meta-06302026xexhibit991.htm,Meta Platforms,Latest snapshot,plan,Official outlook — Annual capex plan / guide,,137.5,Official company outlook,"Meta narrowed 2026 capex guidance to $130B-$145B from $125B-$145B. $137.5B is the model midpoint, not company point guidance.",Verified / disclosed basis,Midpoint of narrowed CY2026 $130B-$145B company range,yes
META-WACC,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/wacc.html,Meta Platforms,Latest snapshot,wacc,Damodaran January 2026 data — WACC sector input,,0.1066,Damodaran industry data / analyst sector selection,"January 2026 cost of capital for Software (Internet), January 2026 U.S. industry average",Verified / disclosed basis,"Industry average, not company-specific WACC",yes
ORCL-FY25Q3-10Q-DERIV,https://www.sec.gov/Archives/edgar/data/1341439/000095017025037143/orcl-20250228.htm,Oracle,FY25 Q3 / 2025-02-28,capex,orcl-20250228.htm — nine-month cumulative capex used to derive ORCL Q2 25 quarter capex,,12.135,SEC filing,Nine-month FY2025 cash capex of $12.135B; ORCL-Q225-CAPEX = $21.215B FY2025 less $12.135B.,Cited in cell notes,"Derivation input only; cited in the notes on Trajectory!C27, Inputs!H20, Inputs!K20, Sources & Notes!H42",no
ORCL-Q4FY26-SLIDES,https://s23.q4cdn.com/440135859/files/doc_financials/2026/q4/Q4-FY26-Oracle-Earnings-Slides.pdf,Oracle,FY26 Q4 / 2026-05-31,plan,Q4-FY26-Oracle-Earnings-Slides.pdf — official Q4 FY26 earnings slides (FY2027 net-cash-outlay capex guide),01_sources/company_filings/oracle/Oracle_2026-06-10_Q4-FY26_Earnings_Slides.pdf,70,Official company disclosure,"Guides to approximately $70B of FY2027 net cash outlay for capex, a non-GAAP measure that is not interchangeable with gross capex; NOT used as the model denominator.",Cited in cell notes,"Explicitly rejected as the snapshot denominator; cited in the notes on Snapshot!E9, Snapshot!E10, Inputs!Z8, Inputs!AB8, Sources & Notes!H51",no
MSFT-FY26-OPENAI-REV,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,Microsoft,FY2026 / 2025-07-01 to 2026-06-30,counterparty_revenue,msft-20260630.htm — Revenue from commercial arrangements with OpenAI (ASC 850),01_sources/company_filings/Microsoft_Corporation/0001193125-26-323660/msft-20260630.htm,24.1,SEC filing,"In accordance with ASC 850, we are disclosing revenue and accounts receivable balances from transactions with OpenAI. For fiscal year 2026, we recorded revenue from commercial arrangements with OpenAI, inclusive of revenue-sharing payments, of $24.1 billion, and accounts receivable from OpenAI as of June 30, 2026 was $6.0 billion.",Verified,"One counterparty, not Microsoft's AI revenue. Disclosed only because OpenAI is an equity-method related party; the same XBRL concept undimensioned returns total company revenue of $331,839M.",no
